split,z0,z1,signed_cost,dz0_dt,dz1_dt
heldout,-0.03599999999999999,0.096,0.0004412437199736857,0.0,-0.027568879736317164
train,-0.03599999999999999,0.10800000000000001,0.0007919584117149908,0.0,-0.030886370133154095
heldout,-0.03599999999999999,0.12,0.001182582734640683,0.0,-0.034220397862050334
train,-0.023999999999999994,-0.12,0.001296134919299488,0.0,0.029414001389838074
heldout,-0.023999999999999994,-0.108,0.0009608171834267903,0.0,0.026468002619906006
train,-0.023999999999999994,-0.096,0.0006610047470288066,0.0,0.0234965243042784
heldout,-0.023999999999999994,-0.08399999999999999,0.00039700073317729123,0.0,0.020500005952772682
train,-0.023999999999999994,-0.072,0.00016910295751061677,0.0,0.017478892615219177
heldout,-0.023999999999999994,-0.06,-2.2396137799404747e-05,0.0,0.014433634806798601
train,-0.023999999999999994,-0.04799999999999999,-0.00017720954916942977,0.0,0.011364688429493786
heldout,-0.023999999999999994,-0.03599999999999999,-0.00029505577577414177,0.0,0.008272514695761846
train,-0.023999999999999994,-0.023999999999999994,-0.0003756588827813351,0.0,0.005157580043879673
heldout,-0.023999999999999994,-0.011999999999999997,-0.0004187485636157756,0.0,0.0020203560677223287
train,-0.023999999999999994,0.0,-0.00042406020126005417,0.0,-0.0011386805831570257
heldout,-0.023999999999999994,0.01200000000000001,-0.0003913349285632334,0.0,-0.004319048261536285
train,-0.023999999999999994,0.02400000000000002,-0.0003203196875536246,0.0,-0.0075202604299384745
heldout,-0.023999999999999994,0.036000000000000004,-0.00021076728774681308,0.0,-0.010741825725857357
train,-0.023999999999999994,0.048000000000000015,-6.243646342805886e-05,0.0,-0.013983248063065279
heldout,-0.023999999999999994,0.06,0.00012490807009359062,0.0,-0.017244026707385895
train,-0.023999999999999994,0.07200000000000001,0.0003514955612735765,0.0,-0.02052365636884268
heldout,-0.023999999999999994,0.08400000000000002,0.000617549168178147,0.0,-0.023821627287978764
train,-0.023999999999999994,0.096,0.0009232859053867198,0.0,-0.027137425322176778
heldout,-0.023999999999999994,0.10800000000000001,0.0012689165919795992,0.0,-0.030470532045023813
train,-0.023999999999999994,0.12,0.0016546458006022752,0.0,-0.033820424828190365
heldout,-0.011999999999999997,-0.12,0.0016885454533996994,0.0,0.03008854477154488
train,-0.011999999999999997,-0.108,0.0013451928913219627,0.0,0.02713254949104904
heldout,-0.011999999999999997,-0.096,0.0010374672912538754,0.0,0.02415079083939453
train,-0.011999999999999997,-0.08399999999999999,0.0007656751732853032,0.0,0.021143709815485412
heldout,-0.011999999999999997,-0.072,0.0005301177318560793,0.0,0.018111753019023347
train,-0.011999999999999997,-0.06,0.00033109076903260065,0.0,0.015055372566130654
heldout,-0.011999999999999997,-0.04799999999999999,0.00016888462871023774,0.0,0.011975026022459367
train,-0.011999999999999997,-0.03599999999999999,4.378413175244039e-05,0.0,0.00887117631354073
heldout,-0.011999999999999997,-0.023999999999999994,-4.393148791503182e-05,0.0,0.005744291657061584
train,-0.011999999999999997,-0.011999999999999997,-9.398864624376307e-05,0.0,0.00259484546794031
heldout,-0.011999999999999997,0.0,-0.00010611947102889124,0.0,-0.0005766837118947876
train,-0.011999999999999997,0.01200000000000001,-8.00618628825564e-05,0.0,-0.003769812297327313
heldout,-0.011999999999999997,0.02400000000000002,-1.5559555204040787e-05,0.0,-0.006984051756087073
train,-0.011999999999999997,0.036000000000000004,8.763782685673044e-05,0.0,-0.010218908678971683
heldout,-0.011999999999999997,0.048000000000000015,0.00022977470847119347,0.0,-0.013473884878656417
train,-0.011999999999999997,0.06,0.0004110895082286639,0.0,-0.016748477454642252
heldout,-0.011999999999999997,0.07200000000000001,0.0006318145822928958,0.0,-0.02004217891704574
train,-0.011999999999999997,0.08400000000000002,0.0008921761696094668,0.0,-0.023354477239889704
heldout,-0.011999999999999997,0.096,0.0011923943381858607,0.0,-0.026684855971848
train,-0.011999999999999997,0.10800000000000001,0.001532682932452685,0.0,-0.030032794317291778
heldout,-0.011999999999999997,0.12,0.00191324952171424,0.0,-0.03339776723315646
train,0.0,-0.12,0.0018704327953822375,0.0,0.030770068019381203
heldout,0.0,-0.108,0.0015189570820807186,0.0,0.02780483772280018
train,0.0,-0.096,0.0012032208413709222,0.0,0.024813562548853252
heldout,0.0,-0.08399999999999999,0.000923533963219092,0.0,0.021796684873398586
train,0.0,-0.072,0.0006802009950438448,0.0,0.018754652733321553
heldout,0.0,-0.06,0.00047352107430698176,0.0,0.015687919739382217
train,0.0,-0.04799999999999999,0.0003037878620372192,0.0,0.012596945005993732
heldout,0.0,-0.03599999999999999,0.00017128947729483368,0.0,0.009482193065180056
train,0.0,-0.023999999999999994,7.630843259487374e-05,0.0,0.006344133794133899
heldout,0.0,-0.011999999999999997,1.912157030214967e-05,0.0,0.003183242331117331
train,0.0,0.0,0.0,0.0,-1.0141887329950805e-09
heldout,0.0,0.01200000000000001,1.9209036861478346e-05,0.0,-0.003205110828408131
train,0.0,0.02400000000000002,7.700814102207243e-05,0.0,-0.006431596700218201
heldout,0.0,0.036000000000000004,0.00017365085797227398,0.0,-0.009678963285852937
train,0.0,0.048000000000000015,0.0003093847599785482,0.0,-0.012946710400973949
heldout,0.0,0.06,0.0004844513885488011,0.0,-0.016234333119480304
train,0.0,0.07200000000000001,0.0006990861979480067,0.0,-0.019541321841509696
heldout,0.0,0.08400000000000002,0.0009535184997780943,0.0,-0.022867162403905628
train,0.0,0.096,0.001247971408637305,0.0,-0.026211336155435028
heldout,0.0,0.10800000000000001,0.0015826617888575756,0.0,-0.029573320050324536
train,0.0,0.12,0.0019578002023470376,0.0,-0.03295258673957635
heldout,0.01200000000000001,-0.12,0.0018411441811365878,0.0,0.03145838629620146
train,0.01200000000000001,-0.108,0.0014814592097797327,0.0,0.028484682470242273
heldout,0.01200000000000001,-0.096,0.001157617069378801,0.0,0.025484654640473003
train,0.01200000000000001,-0.08399999999999999,0.000869930991874289,0.0,0.02245874644868362
heldout,0.01200000000000001,-0.072,0.0006187088510715352,0.0,0.01940740726347201
train,0.01200000000000001,-0.06,0.0004042530945557385,0.0,0.016331092075883014
heldout,0.01200000000000001,-0.04799999999999999,0.00022686067654300451,0.0,0.01323026143890127
train,0.01200000000000001,-0.03599999999999999,8.682299167719204e-05,0.0,0.010105381386404932
heldout,0.01200000000000001,-0.023999999999999994,-1.5574190209678707e-05,0.0,0.006956923336576271
train,0.01200000000000001,-0.011999999999999997,-8.005078836979124e-05,0.0,0.0037853640358354035
heldout,0.01200000000000001,0.0,-0.00010633247442135701,0.0,0.000591185458087562
train,0.01200000000000001,0.01200000000000001,-9.415073463279328e-05,0.0,-0.0026251252818743076
heldout,0.01200000000000001,0.02400000000000002,-4.3242931198374246e-05,0.0,-0.005863075989986921
train,0.01200000000000001,0.036000000000000004,4.6647637508188955e-05,0.0,-0.00912216950976763
