split,z0,z1,signed_cost,dz0_dt,dz1_dt
heldout,-0.108,-0.04799999999999999,-0.008463200767308443,0.04658062135343144,0.007430337564395817
train,-0.108,-0.03599999999999999,-0.008534452723306107,0.04709037186079179,0.004441481802619496
heldout,-0.108,-0.023999999999999994,-0.008569713145871072,0.04758253542708202,0.0014318242483324362
train,-0.108,-0.011999999999999997,-0.00856873514266454,0.0480568289940031,-0.0015981794529440485
heldout,-0.108,0.0,-0.008531277317123664,0.048512972193603954,-0.0046480689949723875
train,-0.108,0.01200000000000001,-0.008457103823993117,0.04895068742183373,-0.007717379480187692
heldout,-0.108,0.02400000000000002,-0.008345984423901776,0.04936969988517115,-0.010805641504629815
train,-0.108,0.036000000000000004,-0.008197694536965172,0.04976973766807058,-0.013912381242042748
heldout,-0.108,0.048000000000000015,-0.008012015295413288,0.0501505317801465,-0.017037120510765558
train,-0.108,0.06,-0.007788733595225916,0.0505118162139051,-0.02017937687864846
heldout,-0.108,0.07200000000000001,-0.007527642146771041,0.05085332800858211,-0.023338663729943754
train,-0.108,0.08400000000000002,-0.007228539524426036,0.05117480729510682,-0.026514490358842124
heldout,-0.108,0.096,-0.0068912302151878935,0.051475997354111236,-0.029706362051906687
train,-0.108,0.10800000000000001,-0.006515524666246941,0.051756644670053475,-0.03291378016967439
heldout,-0.108,0.12,-0.006101239331523511,0.05201649898339822,-0.036136242241580074
train,-0.096,-0.12,-0.005445041444016585,0.037479294647257966,0.02552281152118363
heldout,-0.096,-0.108,-0.005734118803215504,0.038097001282266785,0.022652755458651974
train,-0.096,-0.096,-0.005988612674501459,0.038699628062965896,0.01975896785216813
heldout,-0.096,-0.08399999999999999,-0.006208240843800561,0.03928687875853765,0.016841876981366077
train,-0.096,-0.072,-0.0063927262675580465,0.03985845937110044,0.013901916307568207
heldout,-0.096,-0.06,-0.006541797134505534,0.04041407819732612,0.010939524403008605
train,-0.096,-0.04799999999999999,-0.00665518692654643,0.04095344587673466,0.00795514488144411
heldout,-0.096,-0.03599999999999999,-0.006732634478721744,0.04147627547218535,0.004949226305728249
train,-0.096,-0.023999999999999994,-0.006773884038267397,0.04198228250762437,0.0019222221281367524
heldout,-0.096,-0.011999999999999997,-0.006778685322734956,0.04247118503580838,-0.001125409392066512
train,-0.096,0.0,-0.006746793577175336,0.04294270370630571,-0.004193205279112711
heldout,-0.096,0.01200000000000001,-0.006677969630365932,0.043396561801301026,-0.007280697901512756
train,-0.096,0.02400000000000002,-0.006571979950074414,0.04383248531608652,-0.010387415073642714
heldout,-0.096,0.036000000000000004,-0.006428596697349853,0.04425020300097282,-0.01351288011680607
